name,site,subtypes,category,phone,full_address,postal_code,latitude,longitude,rating,reviews,reviews_tags,photos_count,photo,working_hours,business_status,about,description,menu_link,location_link,place_id
Pet centar Novi Beograd,http://www.pet-centar.rs/,"Pet store, Pet supply store",Продавница кућних љубимаца,+381 11 2123310,"Bulevar Milutina Milankovića 1v, Beograd 11070",11070,44.805105399999995,20.4228319,4.6,7936.0,,1331.0,https://lh3.googleusercontent.com/p/AF1QipPaYfxqPLkWpW9iDyyTqpz1rv7ei_PLzF2GKPD_=w800-h500-k-no,"{""Monday"": ""9AM-9PM"", ""Tuesday"": ""9AM-9PM"", ""Wednesday"": ""9AM-9PM"", ""Thursday"": ""9AM-9PM"", ""Friday"": ""9AM-9PM"", ""Saturday"": ""9AM-9PM"", ""Sunday"": ""9AM-9PM""}",OPERATIONAL,"{""Service options"": {""Delivery"": true, ""In-store pick-up"": true, ""In-store shopping"": true, ""On-site services"": true, ""Same-day delivery"": true}, ""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}, ""Planning"": {""Quick visit"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}}",,,"https://www.google.com/maps/place/Pet+centar+Novi+Beograd/@44.805105399999995,20.4228319,14z/data=!4m8!1m2!2m1!1sPet+centar+Novi+Beograd!3m4!1s0x475a6ff3a66eb0f3:0x28e5f10b4024591a!8m2!3d44.805105399999995!4d20.4228319",ChIJ87BupvNvWkcRGlkkQAvx5Sg
Pet centar BIG FASHION PARK,https://www.pet-centar.rs/,Pet store,Продавница кућних љубимаца,+381 11 4022676,"Višnjička, Beograd 11060",11060,44.816898599999995,20.511830399999997,4.6,462.0,,135.0,https://lh3.googleusercontent.com/p/AF1QipNIKU3-XTyJ0YqGEvGQDzg7uiq-mtYy-xg_-ItD=w800-h500-k-no,"{""Monday"": ""9:30AM-10PM"", ""Tuesday"": ""9:30AM-10PM"", ""Wednesday"": ""9:30AM-10PM"", ""Thursday"": ""9:30AM-10PM"", ""Friday"": ""9:30AM-10PM"", ""Saturday"": ""9:30AM-10PM"", ""Sunday"": ""9:30AM-10PM""}",OPERATIONAL,"{""Service options"": {""Delivery"": true, ""In-store pick-up"": true, ""Same-day delivery"": true}, ""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}, ""Planning"": {""Quick visit"": true}, ""Payments"": {""Credit cards"": true}}",,,"https://www.google.com/maps/place/Pet+centar+BIG+FASHION+PARK/@44.816898599999995,20.511830399999997,14z/data=!4m8!1m2!2m1!1sPet+centar+BIG+FASHION+PARK!3m4!1s0x475a7b23f4a3ab59:0xef06419b47268958!8m2!3d44.816898599999995!4d20.511830399999997",ChIJWauj9CN7WkcRWIkmR5tBBu8
URBAN PETS - Terazije - pet shop i veterinarska apoteka,http://terazije.urbanpets.rs/,"Pet store, Pet supply store, Veterinary pharmacy",Pet store,+381 63 592011,"Trg Nikole Pašića 1, Beograd 11000",11000,44.8125591,20.461706799999998,4.7,294.0,,541.0,https://lh3.googleusercontent.com/p/AF1QipPcXVD0nhwbd1ChWZuzX_y0hHIo3Gmf32OYkc8P=w800-h500-k-no,"{""Monday"": ""9AM-9PM"", ""Tuesday"": ""9AM-9PM"", ""Wednesday"": ""9AM-9PM"", ""Thursday"": ""9AM-9PM"", ""Friday"": ""9AM-9PM"", ""Saturday"": ""10AM-6PM"", ""Sunday"": ""10AM-6PM""}",OPERATIONAL,"{""From the business"": {""Identifies as women-owned"": true}, ""Service options"": {""Delivery"": true, ""In-store pick-up"": true, ""In-store shopping"": true, ""On-site services"": true, ""Same-day delivery"": true}, ""Accessibility"": {""Wheelchair-accessible car park"": false, ""Wheelchair-accessible entrance"": false}, ""Amenities"": {""Wi-Fi"": true}, ""Crowd"": {""LGBTQ+ friendly"": true}, ""Planning"": {""Quick visit"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Other"": {""LGBTQ+ friendly"": true, ""Identifies as women-owned"": true}}",,,"https://www.google.com/maps/place/URBAN+PETS+-+Terazije+-+pet+shop+i+veterinarska+apoteka/@44.8125591,20.461706799999998,14z/data=!4m8!1m2!2m1!1sURBAN+PETS+-+Terazije+-+pet+shop+i+veterinarska+apoteka!3m4!1s0x475a7bc3ab2d374d:0x391ba753e9748c27!8m2!3d44.8125591!4d20.461706799999998",ChIJTTctq8N7WkcRJ4x06VOnGzk
Royal Shop,http://www.royalshop.rs/,Pet supply store,Продавница за кућне љубимце,+381 11 4074297,"Cetinjska 9, Beograd 11000",11000,44.8167585,20.4659653,4.9,548.0,,29.0,https://lh3.googleusercontent.com/p/AF1QipOByRVG95J2YRuCyJ9aK7ebuI9XXbTJt-HHnD_z=w800-h500-k-no,"{""Monday"": ""9AM-8PM"", ""Tuesday"": ""9AM-8PM"", ""Wednesday"": ""9AM-8PM"", ""Thursday"": ""9AM-8PM"", ""Friday"": ""9AM-8PM"", ""Saturday"": ""9AM-4PM"", ""Sunday"": ""Closed""}",OPERATIONAL,"{""Service options"": {""Delivery"": true, ""In-store pick-up"": true, ""Same-day delivery"": true}, ""Accessibility"": {""Wheelchair-accessible car park"": false}, ""Planning"": {""Quick visit"": true}, ""Payments"": {""Credit cards"": true}}",,,"https://www.google.com/maps/place/Royal+Shop/@44.8167585,20.4659653,14z/data=!4m8!1m2!2m1!1sRoyal+Shop!3m4!1s0x475a7ab119708067:0x95b7d5591ae67b9e!8m2!3d44.8167585!4d20.4659653",ChIJZ4BwGbF6WkcRnnvmGlnVt5U
Pet Shop Buvara,https://www.petshopbuvara.rs/,"Pet store, Delivery service, Veterinary pharmacy",Pet store,+381 69 733833,"Jurija Gagarina 227 Lokal 12, Beograd 11070",11070,44.798764899999995,20.3753501,4.7,500.0,,39.0,https://lh3.googleusercontent.com/p/AF1QipNfi8pgelltz6SM0szuv9O9YhfVOwfb_31lcR0A=w800-h500-k-no,"{""Monday"": ""8:30AM-8:30PM"", ""Tuesday"": ""8:30AM-8:30PM"", ""Wednesday"": ""8:30AM-8:30PM"", ""Thursday"": ""8:30AM-8:30PM"", ""Friday"": ""8:30AM-8:30PM"", ""Saturday"": ""8:30AM-4:30PM"", ""Sunday"": ""8:30AM-2:30PM""}",OPERATIONAL,"{""Service options"": {""Delivery"": true, ""In-store pick-up"": true, ""In-store shopping"": true, ""Same-day delivery"": true}, ""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}, ""Amenities"": {""Wi-Fi"": true}, ""Crowd"": {""LGBTQ+ friendly"": true}, ""Planning"": {""Quick visit"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Other"": {""LGBTQ+ friendly"": true}}",,,"https://www.google.com/maps/place/Pet+Shop+Buvara/@44.798764899999995,20.3753501,14z/data=!4m8!1m2!2m1!1sPet+Shop+Buvara!3m4!1s0x475a659d2eb62d01:0x145ba8e5dc955be6!8m2!3d44.798764899999995!4d20.3753501",ChIJAS22Lp1lWkcR5luV3OWoWxQ
Pet Republic,http://petrepublic.rs/,Pet store,Prodavnica kućnih ljubimaca,+381 11 4024490,"Đorđa Stanojevića 35, Beograd 11070",11070,44.8093995,20.3975112,4.4,23.0,,67.0,https://lh3.googleusercontent.com/p/AF1QipOxUNf5OGSNCAgCU-w94K0UyjjiyGx-cS8_oLKI=w800-h500-k-no,"{""Monday"": ""9AM-10PM"", ""Tuesday"": ""9AM-10PM"", ""Wednesday"": ""9AM-10PM"", ""Thursday"": ""9AM-10PM"", ""Friday"": ""9AM-10PM"", ""Saturday"": ""9AM-10PM"", ""Sunday"": ""9AM-10PM""}",OPERATIONAL,"{""Service options"": {""Delivery"": true, ""Same-day delivery"": true}, ""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}, ""Planning"": {""Quick visit"": true}, ""Payments"": {""Credit cards"": true}}",,,"https://www.google.com/maps/place/Pet+Republic/@44.8093995,20.3975112,14z/data=!4m8!1m2!2m1!1sPet+Republic!3m4!1s0x475a6f6643aa9799:0x3d69fd2109bb0956!8m2!3d44.8093995!4d20.3975112",ChIJmZeqQ2ZvWkcRVgm7CSH9aT0
Premium Pet Bulevar,http://www.premiumpet.rs/,Pet store,Prodavnica kućnih ljubimaca,+381 63 418201,"Bulevar kralja Aleksandra 58, Beograd 11000",11000,44.8074307,20.470633799999998,4.7,66.0,,17.0,https://lh3.googleusercontent.com/p/AF1QipPMCaY7CWhDZwd1YgkULRUhur6gPAqQBiXE86Cm=w800-h500-k-no,"{""Monday"": ""9AM-9PM"", ""Tuesday"": ""9AM-9PM"", ""Wednesday"": ""9AM-9PM"", ""Thursday"": ""9AM-8PM"", ""Friday"": ""9AM-9PM"", ""Saturday"": ""9AM-9PM"", ""Sunday"": ""9AM-5PM""}",OPERATIONAL,"{""Service options"": {""Delivery"": true, ""In-store pick-up"": true, ""In-store shopping"": true, ""Same-day delivery"": true}, ""Planning"": {""Quick visit"": true}, ""Payments"": {""Credit cards"": true}}",,,"https://www.google.com/maps/place/Premium+Pet+Bulevar/@44.8074307,20.470633799999998,14z/data=!4m8!1m2!2m1!1sPremium+Pet+Bulevar!3m4!1s0x475a7bfdab53271b:0xe3408176fba8f8d2!8m2!3d44.8074307!4d20.470633799999998",ChIJGydTq_17WkcR0vio-3aBQOM
Premium Pet Galerija,http://www.premiumpet.rs/,Pet store,Продавница кућних љубимаца,+381 62 310976,"Bulevar Vudro Vilson, Beograd",None,44.8022917,20.4446762,4.3,45.0,,27.0,https://lh3.googleusercontent.com/p/AF1QipPsm5ni7gcBKHmkoC1iSIVlPgOJv1XxKtuSB8wx=w800-h500-k-no,"{""Monday"": ""10AM-10PM"", ""Tuesday"": ""10AM-10PM"", ""Wednesday"": ""10AM-10PM"", ""Thursday"": ""10AM-10PM"", ""Friday"": ""10AM-10PM"", ""Saturday"": ""10AM-10PM"", ""Sunday"": ""10AM-10PM""}",OPERATIONAL,"{""Service options"": {""Delivery"": true, ""Same-day delivery"": true}, ""Planning"": {""Quick visit"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}}",,,"https://www.google.com/maps/place/Premium+Pet+Galerija/@44.8022917,20.4446762,14z/data=!4m8!1m2!2m1!1sPremium+Pet+Galerija!3m4!1s0x475a6f213a9539b9:0xe6f6f5e0d63d3e5a!8m2!3d44.8022917!4d20.4446762",ChIJuTmVOiFvWkcRWj491uD19uY
Pet centar Kneza Miloša,https://www.pet-centar.rs/,Pet supply store,Продавница за кућне љубимце,+381 11 4550726,"Vojvode Milenka 12, Beograd 11000",11000,44.804016499999996,20.4570039,4.8,29.0,,6.0,https://lh3.googleusercontent.com/p/AF1QipOnFotbXQQ4vqHja-Wb6KJ4e8MuRTf8iFINM4Wu=w800-h500-k-no,"{""Monday"": ""9AM-9PM"", ""Tuesday"": ""9AM-9PM"", ""Wednesday"": ""9AM-9PM"", ""Thursday"": ""9AM-9PM"", ""Friday"": ""9AM-9PM"", ""Saturday"": ""9AM-9PM"", ""Sunday"": ""9AM-4PM""}",OPERATIONAL,"{""Planning"": {""Quick visit"": true}, ""Payments"": {""Credit cards"": true}}",,,"https://www.google.com/maps/place/Pet+centar+Kneza+Milo%C5%A1a/@44.804016499999996,20.4570039,14z/data=!4m8!1m2!2m1!1sPet+centar+Kneza+Milo%C5%A1a!3m4!1s0x475a7163d62140b5:0xdfa49b463fb81123!8m2!3d44.804016499999996!4d20.4570039",ChIJtUAh1mNxWkcRIxG4P0abpN8
Premium Pet Kralja Petra,https://www.premiumpet.rs/,Pet store,Pet store,+381 63 630097,"Kralja Petra 76, Beograd 11000",11000,44.8227343,20.4591189,4.7,38.0,,14.0,https://lh3.googleusercontent.com/p/AF1QipMF0pkOedfDMw_SnqSOc_5bWZWb7DmyzAFUjy7B=w800-h500-k-no,"{""Monday"": ""9AM-9PM"", ""Tuesday"": ""9AM-9PM"", ""Wednesday"": ""9AM-9PM"", ""Thursday"": ""9AM-9PM"", ""Friday"": ""9AM-9PM"", ""Saturday"": ""9AM-9PM"", ""Sunday"": ""9AM-9PM""}",OPERATIONAL,"{""Service options"": {""Delivery"": true}, ""Planning"": {""Quick visit"": true}, ""Payments"": {""Credit cards"": true}}",,,"https://www.google.com/maps/place/Premium+Pet+Kralja+Petra/@44.8227343,20.4591189,14z/data=!4m8!1m2!2m1!1sPremium+Pet+Kralja+Petra!3m4!1s0x475a651b499667eb:0xcf9c0f449c7dd372!8m2!3d44.8227343!4d20.4591189",ChIJ62eWSRtlWkcRctN9nEQPnM8
